inicio,fin,cantidad_viajes
"Hotel Granduca Pool, Capital Ridge Driveway",611 Fairfield Lane,4
"Hotel Granduca Pool, Capital Ridge Driveway",3126 Honey Tree Lane,4
1402 Hillmont Street,919 Park Plaza,4
1106 Clayton Lane,405 East Ben White Boulevard,4
"The Pearl, 1301 West Koenig Lane",2800 Tom Miller Street,4
11700 Stonehollow Drive,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
5305 East Oltorf Street,2505 Longview Street,4
1903 Fairlawn Lane,2507 Bridle Path,4
5305 East Oltorf Street,2008 Kinney Avenue,4
"The Pearl, 1301 West Koenig Lane",313 Lone Oak Drive,4
1106 Clayton Lane,5305 East Oltorf Street,4
Reserve Road,1304 Cometa Street,4
5305 East Oltorf Street,1157 Salina Street,4
Arnulfo Alonso Way,611 Fairfield Lane,4
Arnulfo Alonso Way,948 East 50th Street,4
909 East Koenig Lane,842 Springdale Road,4
Nash Hernandez Sr Road,5305 East Oltorf Street,4
"The Pearl, 1301 West Koenig Lane",600 Hammack Drive,4
Reserve Road,12111 Northern Walnut Creek Trail,4
909 East Koenig Lane,6210 Shadow Valley Drive,4
"Great Hills Park & Ride, OChester Boulevard",West 15th Street,4
7516 Hardy Drive,1702 Briar Street,4
5701 Mojave Drive,Arnulfo Alonso Way,4
909 East Koenig Lane,2015 Cedar Bend Drive,4
1903 Fairlawn Lane,600 Hammack Drive,4
"Trader Joes, 2805 Bee Caves Road",2609 Deerfoot Trail,4
909 East Koenig Lane,2212 Village Way Drive,4
"Trader Joes, 2805 Bee Caves Road",2702 Valley Spring Road,4
"Great Hills Park & Ride, OChester Boulevard",1400 South Pleasant Valley Road,4
"Barley Bean, South Lamar Boulevard",3001 West Anderson Lane,4
11405 Alterra Parkway,4501 Fairview Drive,4
1400 South Pleasant Valley Road,"Infiniti, Burnet Road",4
North Interstate 35,2106 Shoalmont Drive,4
7516 Hardy Drive,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
7516 Hardy Drive,East 20th Street,4
1419 Corona Drive,"The Pearl, 1301 West Koenig Lane",4
5209 North Lamar Boulevard,1104 Flanagan Cove,4
11700 Stonehollow Drive,3707 South 2nd Street,4
"Barley Bean, South Lamar Boulevard",3708 Meredith Street,4
"Barley Bean, South Lamar Boulevard",3811 Avenue H,4
"Trader Joes, 2805 Bee Caves Road",North Mopac Service Road,4
Gillis District Park Trail,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
510 Gate Tree Lane,East 20th Street,4
"Trader Joes, 2805 Bee Caves Road","St. Edwards University, 3001 South Congress Avenue",4
106 East 55th Street,"Riverside Golf Course, 1020 Grove Boulevard",4
510 Gate Tree Lane,4504 Avenue C,4
1903 Fairlawn Lane,5700 South Mopac Expressway,4
1903 Fairlawn Lane,5606 Penick Drive,4
1903 Fairlawn Lane,5209 North Lamar Boulevard,4
"Trader Joes, 2805 Bee Caves Road",2305 Newfield Lane,4
11405 Alterra Parkway,2400 East Oltorf Street,4
7516 Hardy Drive,1915 East Martin Luther King Jr Boulevard,4
North Interstate 35,110 Oertli Lane,4
"Trader Joes, 2805 Bee Caves Road",1517 Summer Stone Drive,4
909 East Koenig Lane,2904 Barton Skyway,4
7516 Hardy Drive,2008 Kinney Avenue,4
7516 Hardy Drive,2023 East 5th Street,4
5209 North Lamar Boulevard,3201 Kay Street,4
"Trader Joes, 2805 Bee Caves Road",2002 Dexter Street,4
"Great Hills Park & Ride, OChester Boulevard",5209 North Lamar Boulevard,4
"Great Hills Park & Ride, OChester Boulevard",3811 Avenue H,4
11405 Alterra Parkway,2793 East 7th Street,4
"Great Hills Park & Ride, OChester Boulevard",3001 West Anderson Lane,4
5209 North Lamar Boulevard,2702 Valley Spring Road,4
5209 North Lamar Boulevard,2609 Deerfoot Trail,4
5209 North Lamar Boulevard,2600 La Ronde Street,4
5209 North Lamar Boulevard,2517 Walsh Tarlton Lane,4
North Interstate 35,12111 Northern Walnut Creek Trail,4
11405 Alterra Parkway,3201 Kay Street,4
5209 North Lamar Boulevard,2400 East Oltorf Street,4
7516 Hardy Drive,3001 South Congress Avenue,4
5305 East Oltorf Street,948 East 50th Street,4
5305 East Oltorf Street,Nash Hernandez Sr Road,4
7100 Carver Avenue,"The Pearl, 1301 West Koenig Lane",4
919 Park Plaza,West Gibson Street,4
12111 Northern Walnut Creek Trail,1403 East 2nd Street,4
1419 Corona Drive,3201 Kay Street,4
"St. Francis School, Twin Crest Drive",3811 Avenue H,4
"St. Francis School, Twin Crest Drive",3819 Jefferson Street,4
5700 South Mopac Expressway,"Hotel Granduca Pool, Capital Ridge Driveway",4
11700 Stonehollow Drive,Reserve Road,4
"Infiniti, Burnet Road",3567 Ranch to Market Road 2222,4
5700 South Mopac Expressway,8405 Hornet Drive,4
Arboretum Boulevard,Reserve Road,4
"Infiniti, Burnet Road",3501 Duval Road,4
"Infiniti, Burnet Road",2907 Townes Lane,4
"The Pearl, 1301 West Koenig Lane",1731 East 38½ Street,4
5700 South Mopac Expressway,490 Little Texas Lane,4
110 Oertli Lane,3304 Guadalupe Street,4
5700 South Mopac Expressway,400 West Saint Elmo Road,4
"Infiniti, Burnet Road",2207 De Verne Street,4
5700 South Mopac Expressway,313 Lone Oak Drive,4
5700 South Mopac Expressway,3001 South Congress Avenue,4
"St. Francis School, Twin Crest Drive",7511 Meadowview Lane,4
Arnulfo Alonso Way,11405 Alterra Parkway,4
7100 Carver Avenue,3001 South Congress Avenue,4
919 Park Plaza,"Panera Bread, North Capital of Texas Highway",4
5700 South Mopac Expressway,South Mopac Service Road,4
1419 Corona Drive,313 Lone Oak Drive,4
11700 Stonehollow Drive,"The Pearl, 1301 West Koenig Lane",4
"St. Francis School, Twin Crest Drive",3001 South Congress Avenue,4
5701 Mojave Drive,Ann & Roy Hike & Bike Trail,4
5701 Mojave Drive,Ann & Roy Butler Hike and Bike Trail,4
5701 Mojave Drive,400 West Saint Elmo Road,4
Arboretum Boulevard,4501 Rowood Road,4
1731 East 38½ Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
1204 West 29th Street,"The Pearl, 1301 West Koenig Lane",4
1731 East 38½ Street,"Popeyes, Cactus Lane",4
5701 Mojave Drive,2500 Candlewood Court,4
948 East 50th Street,2600 La Ronde Street,4
948 East 50th Street,2517 Walsh Tarlton Lane,4
"Infiniti, Burnet Road",600 Hammack Drive,4
1517 Summer Stone Drive,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
5701 Mojave Drive,2002 Dexter Street,4
948 East 50th Street,2108 White Horse Trail,4
1419 Corona Drive,2800 Tom Miller Street,4
Nash Hernandez Sr Road,2108 White Horse Trail,4
5701 Mojave Drive,1517 Summer Stone Drive,4
"Infiniti, Burnet Road",41 Margranita Crescent,4
110 Oertli Lane,400 1/2 South 1st Street,4
5701 Mojave Drive,1155 Curve Street,4
5701 Mojave Drive,106 East 55th Street,4
Reserve Road,3309 East 17th Street,4
Arnulfo Alonso Way,1155 Curve Street,4
919 Park Plaza,7088 Easy Wind Drive,4
"The Pearl, 1301 West Koenig Lane",1106 Clayton Lane,4
909 East Koenig Lane,South Mopac Service Road,4
1106 Clayton Lane,2793 East 7th Street,4
7100 Carver Avenue,Nash Hernandez Sr Road,4
5606 Penick Drive,3001 South Congress Avenue,4
5606 Penick Drive,2908 Beanna Street,4
5606 Penick Drive,2793 East 7th Street,4
"Hotel Granduca Pool, Capital Ridge Driveway","Great Hills Park & Ride, OChester Boulevard",4
1903 Fairlawn Lane,2106 Shoalmont Drive,4
7100 Carver Avenue,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
"The Pearl, 1301 West Koenig Lane",1204 West 29th Street,4
"The Pearl, 1301 West Koenig Lane",1400 South Pleasant Valley Road,4
909 East Koenig Lane,"Popeyes, Cactus Lane",4
1419 Corona Drive,7100 Carver Avenue,4
5606 Penick Drive,1915 East Martin Luther King Jr Boulevard,4
5606 Penick Drive,1903 Fairlawn Lane,4
"The Pearl, 1301 West Koenig Lane",1500 Royal Crest Drive,4
"Hotel Granduca Pool, Capital Ridge Driveway",Arboretum Boulevard,4
1106 Clayton Lane,3400 Catalina Drive,4
909 East Koenig Lane,"Lions Municipal Golf Course, 2901 Enfield Road",4
"Hotel Granduca Pool, Capital Ridge Driveway",909 East Koenig Lane,4
909 East Koenig Lane,"DoubleTree by Hilton Hotel Austin Northwest Arboretum, 8901 Business Park Drive",4
7100 Carver Avenue,"Barley Bean, South Lamar Boulevard",4
1419 Corona Drive,5701 Mojave Drive,4
Arnulfo Alonso Way,1157 Salina Street,4
5606 Penick Drive,4501 Rowood Road,4
Arnulfo Alonso Way,1400 South Pleasant Valley Road,4
919 Park Plaza,5209 North Lamar Boulevard,4
919 Park Plaza,2908 Beanna Street,4
1517 Summer Stone Drive,9669 New Airport Drive,4
"Infiniti, Burnet Road",1629 West 11 1/2 Street,4
919 Park Plaza,2605 Whitis Avenue,4
1903 Fairlawn Lane,1304 Cometa Street,4
1903 Fairlawn Lane,1419 Corona Drive,4
"Infiniti, Burnet Road",12111 Northern Walnut Creek Trail,4
5606 Penick Drive,East 20th Street,4
5606 Penick Drive,"Cambria Hotel Austin Airport, Discovery Lane",4
7100 Carver Avenue,8608 Primrose Lane,4
919 Park Plaza,11700 Stonehollow Drive,4
909 East Koenig Lane,"Yellow Jacket Stadium, Hargrave Street",4
Arnulfo Alonso Way,2002 Dexter Street,4
"Infiniti, Burnet Road",1000 East 41st Street,4
Arnulfo Alonso Way,2008 Kinney Avenue,4
"St. Francis School, Twin Crest Drive","Riverside Golf Course, 1020 Grove Boulevard",4
Reserve Road,2624 Western Trails Boulevard,4
"Hotel Granduca Pool, Capital Ridge Driveway",Reserve Road,4
11700 Stonehollow Drive,"Great Hills Park & Ride, OChester Boulevard",4
1157 Salina Street,5305 East Oltorf Street,4
5700 South Mopac Expressway,Nash Hernandez Sr Road,4
2908 Beanna Street,"Cambria Hotel Austin Airport, Discovery Lane",4
2908 Beanna Street,"Hotel Granduca Pool, Capital Ridge Driveway",4
2908 Beanna Street,Arboretum Boulevard,4
4368 Freidrich Lane,North Mopac Service Road,4
4368 Freidrich Lane,North Interstate 35,4
3708 Meredith Street,Ann & Roy Butler Hike and Bike Trail,4
4368 Freidrich Lane,"Hotel Granduca Pool, Capital Ridge Driveway",4
2517 Walsh Tarlton Lane,4501 Rowood Road,4
3708 Meredith Street,Ann & Roy Hike & Bike Trail,4
3708 Meredith Street,Arnulfo Alonso Way,4
2117 West 49th Street,Ann & Roy Butler Hike and Bike Trail,4
3201 Kay Street,4501 Rowood Road,4
3201 Kay Street,600 Hammack Drive,4
3201 Kay Street,4200 North Lamar Boulevard,4
4368 Freidrich Lane,7100 Carver Avenue,4
2500 Candlewood Court,510 Gate Tree Lane,4
3708 Meredith Street,North Mopac Service Road,4
2500 Candlewood Court,5701 Mojave Drive,4
2117 West 49th Street,7804 Tisdale Drive,4
2500 Candlewood Court,600 Hammack Drive,4
3708 Meredith Street,"Omni Barton Creek Resort, 8108 Barton Club Drives",4
2108 White Horse Trail,2241 Cromwell Circle,4
4368 Freidrich Lane,Shops at Arbor Trail,4
3201 Kay Street,611 Fairfield Lane,4
4368 Freidrich Lane,5700 South Mopac Expressway,4
2908 Beanna Street,5606 Penick Drive,4
3708 Meredith Street,3309 East 17th Street,4
2908 Beanna Street,4608 Mount Vernon Drive,4
2908 Beanna Street,4707 Weidemar Lane,4
4501 Fairview Drive,2600 La Ronde Street,4
4501 Fairview Drive,2507 Bridle Path,4
2500 Candlewood Court,3018 Spirit of Texas Drive,4
2008 Kinney Avenue,948 East 50th Street,4
2517 Walsh Tarlton Lane,5701 Mojave Drive,4
2305 Newfield Lane,4501 Rowood Road,4
3708 Meredith Street,4707 Weidemar Lane,4
2117 West 49th Street,Ann & Roy Hike & Bike Trail,4
3708 Meredith Street,5005 Red Bluff Road,4
3708 Meredith Street,600 Hammack Drive,4
3708 Meredith Street,611 Fairfield Lane,4
4501 Fairview Drive,1702 Briar Street,4
2517 Walsh Tarlton Lane,5209 North Lamar Boulevard,4
2800 Tom Miller Street,"Infiniti, Burnet Road",4
2500 Candlewood Court,4608 Mount Vernon Drive,4
2108 White Horse Trail,2207 De Verne Street,4
3708 Meredith Street,811 East Riverside Drive,4
2212 Village Way Drive,5701 Mojave Drive,4
4368 Freidrich Lane,510 Gate Tree Lane,4
3811 Avenue H,7804 Tisdale Drive,4
313 Lone Oak Drive,"Circuit of The Americas, Swiss Drive",4
3001 South Congress Avenue,2106 Shoalmont Drive,4
3811 Avenue H,3708 Meredith Street,4
2117 West 49th Street,3405 Westledge Circle,4
2008 Kinney Avenue,3567 Ranch to Market Road 2222,4
2500 Candlewood Court,North Mopac Service Road,4
2108 White Horse Trail,2908 Beanna Street,4
2500 Candlewood Court,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
4368 Freidrich Lane,1400 South Pleasant Valley Road,4
3001 South Congress Avenue,2117 West 49th Street,4
313 Lone Oak Drive,8608 Primrose Lane,4
2500 Candlewood Court,North Interstate 35,4
2800 Tom Miller Street,600 Hammack Drive,4
2305 Newfield Lane,3001 South Congress Avenue,4
313 Lone Oak Drive,842 Springdale Road,4
2624 Western Trails Boulevard,5305 East Oltorf Street,4
2008 Kinney Avenue,3201 Kay Street,4
2008 Kinney Avenue,3126 Honey Tree Lane,4
2008 Kinney Avenue,3018 Spirit of Texas Drive,4
313 Lone Oak Drive,600 Hammack Drive,4
2204 Vanderbilt Lane,8608 Primrose Lane,4
3811 Avenue H,3707 South 2nd Street,4
2500 Candlewood Court,"Cambria Hotel Austin Airport, Discovery Lane",4
3201 Kay Street,313 Lone Oak Drive,4
2212 Village Way Drive,842 Springdale Road,4
1928 Holly Hill Drive,1400 South Pleasant Valley Road,4
2212 Village Way Drive,811 East Riverside Drive,4
4368 Freidrich Lane,3819 Jefferson Street,4
2008 Kinney Avenue,7516 Hardy Drive,4
3001 South Congress Avenue,11700 Stonehollow Drive,4
4368 Freidrich Lane,3304 Guadalupe Street,4
2517 Walsh Tarlton Lane,2609 Deerfoot Trail,4
2517 Walsh Tarlton Lane,2600 La Ronde Street,4
4368 Freidrich Lane,3001 West Anderson Lane,4
2008 Kinney Avenue,5700 South Mopac Expressway,4
2108 White Horse Trail,2600 La Ronde Street,4
3811 Avenue H,1903 Fairlawn Lane,4
2517 Walsh Tarlton Lane,2508 Aldford Drive,4
4368 Freidrich Lane,2609 Deerfoot Trail,4
3201 Kay Street,2203 Philomena Street,4
2517 Walsh Tarlton Lane,2305 Newfield Lane,4
3811 Avenue H,2305 Newfield Lane,4
4368 Freidrich Lane,2117 West 49th Street,4
3201 Kay Street,106 East 55th Street,4
2117 West 49th Street,41 Margranita Crescent,4
2204 Vanderbilt Lane,West Gibson Street,4
3708 Meredith Street,2904 Barton Skyway,4
2500 Candlewood Court,2609 Deerfoot Trail,4
2901 Via Fortuna,1702 Briar Street,4
2106 West 7th Street,8405 Hornet Drive,4
2609 Deerfoot Trail,3400 Catalina Drive,4
2015 Cedar Bend Drive,3567 Ranch to Market Road 2222,4
3707 South 2nd Street,1000 East 41st Street,4
3707 South 2nd Street,110 Oertli Lane,4
3707 South 2nd Street,1304 Cometa Street,4
3301 Hollywood Avenue,"Circuit of The Americas, Swiss Drive",4
2907 Townes Lane,Ann & Roy Hike & Bike Trail,4
2203 Philomena Street,2600 La Ronde Street,4
2015 Cedar Bend Drive,2505 Longview Street,4
1915 East Martin Luther King Jr Boulevard,7516 Hardy Drive,4
2600 La Ronde Street,1500 Royal Crest Drive,4
4501 Rowood Road,1304 Cometa Street,4
3301 Hollywood Avenue,490 Little Texas Lane,4
3707 South 2nd Street,2212 Village Way Drive,4
2106 West 7th Street,"Yellow Jacket Stadium, Hargrave Street",4
4501 Rowood Road,106 East 55th Street,4
2404 Kathy Cove,Gillis District Park Trail,4
2600 La Ronde Street,106 East 55th Street,4
2901 Via Fortuna,1517 Summer Stone Drive,4
4501 Rowood Road,3201 Kay Street,4
4501 Rowood Road,3400 Catalina Drive,4
2207 De Verne Street,106 East 55th Street,4
2106 West 7th Street,4501 Fairview Drive,4
2203 Philomena Street,3001 West Anderson Lane,4
2901 Via Fortuna,2517 Walsh Tarlton Lane,4
4501 Rowood Road,"Barley Bean, South Lamar Boulevard",4
2203 Philomena Street,"The Pearl, 1301 West Koenig Lane",4
2023 East 5th Street,7516 Hardy Drive,4
4501 Rowood Road,8608 Primrose Lane,4
2609 Deerfoot Trail,2793 East 7th Street,4
2023 East 5th Street,2404 Kathy Cove,4
2609 Deerfoot Trail,2907 Townes Lane,4
2404 Kathy Cove,313 Lone Oak Drive,4
3304 Guadalupe Street,1517 Summer Stone Drive,4
2404 Kathy Cove,3304 Guadalupe Street,4
4501 Rowood Road,7100 Carver Avenue,4
3304 Guadalupe Street,2212 Village Way Drive,4
4501 Rowood Road,5700 South Mopac Expressway,4
2609 Deerfoot Trail,2908 Beanna Street,4
4501 Rowood Road,490 Little Texas Lane,4
2907 Townes Lane,3819 Jefferson Street,4
4501 Rowood Road,41 Margranita Crescent,4
2907 Townes Lane,4504 Avenue C,4
2901 Via Fortuna,1500 Royal Crest Drive,4
2907 Townes Lane,"Popeyes, Cactus Lane",4
2015 Cedar Bend Drive,1403 East 2nd Street,4
2908 Beanna Street,3005 Scenic Drive,4
2901 Via Fortuna,106 East 55th Street,4
3707 South 2nd Street,"Platform Apartments - Building 3, 2823 East Martin Luther King Jr Boulevard",4
2305 Newfield Lane,8608 Primrose Lane,4
4501 Fairview Drive,5209 North Lamar Boulevard,4
2203 Philomena Street,1000 East 41st Street,4
2117 West 49th Street,"Trader Joes, 2805 Bee Caves Road",4
2008 Kinney Avenue,East William Cannon Drive,4
2008 Kinney Avenue,"Circuit of The Americas, Swiss Drive",4
3708 Meredith Street,1928 Holly Hill Drive,4
2500 Candlewood Court,2305 Newfield Lane,4
3301 Hollywood Avenue,2600 La Ronde Street,4
2008 Kinney Avenue,Arnulfo Alonso Way,4
2305 Newfield Lane,600 Hammack Drive,4
2908 Beanna Street,3405 Westledge Circle,4
2517 Walsh Tarlton Lane,7100 Carver Avenue,4
2117 West 49th Street,Nash Hernandez Sr Road,4
4501 Fairview Drive,3304 Guadalupe Street,4
3708 Meredith Street,2207 De Verne Street,4
3708 Meredith Street,2600 La Ronde Street,4
2908 Beanna Street,3707 South 2nd Street,4
3201 Kay Street,"Yellow Jacket Stadium, Hargrave Street",4
4501 Fairview Drive,811 East Riverside Drive,4
2908 Beanna Street,2003 Northridge Drive,4
2008 Kinney Avenue,"Panera Bread, North Capital of Texas Highway",4
3707 South 2nd Street,2907 Townes Lane,4
3301 Hollywood Avenue,2305 Newfield Lane,4
2203 Philomena Street,2400 East Oltorf Street,4
2212 Village Way Drive,4368 Freidrich Lane,4
3707 South 2nd Street,3018 Spirit of Texas Drive,4
2015 Cedar Bend Drive,1155 Curve Street,4
2108 White Horse Trail,1106 Clayton Lane,4
3301 Hollywood Avenue,2204 Vanderbilt Lane,4
2108 White Horse Trail,1419 Corona Drive,4
3707 South 2nd Street,5209 North Lamar Boulevard,4
4501 Fairview Drive,East 20th Street,4
3301 Hollywood Avenue,1517 Summer Stone Drive,4
2500 Candlewood Court,1157 Salina Street,4
2108 White Horse Trail,1702 Briar Street,4
2203 Philomena Street,2117 West 49th Street,4
2908 Beanna Street,1304 Cometa Street,4
2203 Philomena Street,2002 Dexter Street,4
2500 Candlewood Court,1304 Cometa Street,4
3707 South 2nd Street,East William Cannon Drive,4
2800 Tom Miller Street,5005 Red Bluff Road,4
3811 Avenue H,811 East Riverside Drive,4
2609 Deerfoot Trail,2600 La Ronde Street,4
2241 Cromwell Circle,41 Margranita Crescent,4
2241 Cromwell Circle,4501 Fairview Drive,4
2204 Vanderbilt Lane,400 1/2 South 1st Street,4
2505 Longview Street,Country Club Creek Trail,4
41 Margranita Crescent,313 Lone Oak Drive,4
2793 East 7th Street,"The Pearl, 1301 West Koenig Lane",4
2117 West 49th Street,1400 South Pleasant Valley Road,4
41 Margranita Crescent,2907 Townes Lane,4
3001 West Anderson Lane,"Barley Bean, South Lamar Boulevard",4
2793 East 7th Street,1419 Corona Drive,4
2241 Cromwell Circle,3819 Jefferson Street,4
41 Margranita Crescent,400 West Saint Elmo Road,4
3001 West Anderson Lane,Lady Bird Lake Hike and Bike Trail,4
2507 Bridle Path,"Lions Municipal Golf Course, 2901 Enfield Road",4
2002 Dexter Street,405 East Ben White Boulevard,4
3018 Spirit of Texas Drive,909 East Koenig Lane,4
41 Margranita Crescent,2305 Newfield Lane,4
2241 Cromwell Circle,3309 East 17th Street,4
41 Margranita Crescent,1911 Lightsey Road,4
4015 Bergstrom Drive,2203 Philomena Street,4
2507 Bridle Path,Ann & Roy Hike & Bike Trail,4
41 Margranita Crescent,3811 Avenue H,4
400 West Saint Elmo Road,811 East Riverside Drive,4
